ItemID;CommonName;Genus;Species;Family
931;cudweed, marsh;Gnaphalium;uliginosum;Asteraceae
151;plantain, rattlesnake;Goodyera;oblongifolia;Orchidaceae
1409;plantain, downy rattlesnake;Goodyera;pubescens;Orchidaceae
695;plantain, lesser rattlesnake;Goodyera;repens;Orchidaceae
1410;plantain, checkered rattlesnake;Goodyera;tesselata;Orchidaceae
1772;hedgehyssop, golden;Gratiola;aurea;Plantaginaceae
226;hedgehyssop, common American;Gratiola;neglecta;Plantaginaceae
1728;gumweed, spiny-tooth;Grindelia;lanceolata;Asteraceae
932;gumweed, curlycup;Grindelia;squarrosa;Asteraceae
1729;niger-seed;Guizotia;abyssinica;Asteraceae
1241;coffeetree, Kentucky;Gymnocladus;dioicus;Fabaceae
1040;babysbreath, showy;Gypsophila;elegans;Caryophyllaceae
1723;babysbreath, low;Gypsophila;muralis;Caryophyllaceae
430;gypsophila, babysbreath;Gypsophila;paniculata;Caryophyllaceae
825;babysbreath, garden;Gypsophila;scorzonerifolia;Caryophyllaceae
645;stickseed, nodding;Hackelia;deflexa;Boraginaceae
1228;lice, beggar's;Hackelia;virginiana;Boraginaceae
748;spurred-gentian, American;Halenia;deflexa;Gentianaceae
1334;witch-hazel, American;Hamamelis;virginiana;Hamamelidaceae
1174;indian-plantain, false;Hasteola;suaveolens;Asteraceae
750;pennyroyal, rough false;Hedeoma;hispida;Lamiaceae
1349;pennyroyal, American false;Hedeoma;pulegioides;Lamiaceae
1605;bitterweed;Helenium;amarum;Asteraceae
933;sneezeweed;Helenium;autumnale;Asteraceae
1189;sneezeweed, purplehead;Helenium;flexuosum;Asteraceae
934;sunflower, common;Helianthus;annuus;Asteraceae
1606;sunflower, thinleaf;Helianthus;decapetalus;Asteraceae
1607;sunflower, woodland;Helianthus;divaricatus;Asteraceae
1190;sunflower, giant;Helianthus;giganteus;Asteraceae
935;sunflower, sawtooth;Helianthus;grosseserratus;Asteraceae
1191;sunflower, whiskered;Helianthus;hirsutus;Asteraceae
936;sunflower, Maximilian;Helianthus;maximiliani;Asteraceae
1608;sunflower, ashy;Helianthus;mollis;Asteraceae
1192;sunflower, few-leaf;Helianthus;occidentalis;Asteraceae
937;sunflower, stiff;Helianthus;pauciflorus;Asteraceae
938;sunflower, prairie;Helianthus;petiolaris;Asteraceae
1732;sunflower, willow leaf;Helianthus;salicifolius;Asteraceae
1193;sunflower, pale leaf woodland;Helianthus;strumosus;Asteraceae
939;artichoke, Jerusalem;Helianthus;tuberosus;Asteraceae
940;sunflower, heliopsis;Heliopsis;helianthoides;Asteraceae
749;daylily, orange;Hemerocallis;fulva;Liliaceae
1000;hogweed, giant;Heracleum;mantegazzianum;Apiaceae
6;cowparsnip, common;Heracleum;maximum;Apiaceae
1777;rupturewort, hairy;Herniaria;hirsuta;Caryophyllaceae
431;rocket, dames;Hesperis;matronalis;Brassicaceae
432;mudplantain, grassleaf;Heteranthera;dubia;Pontederiaceae
941;goldenaster, hairy;Heterotheca;villosa;Asteraceae
751;alumroot, Richardson's;Heuchera;richardsonii;Saxifragaceae
1652;rosemallow, halberd-leaved;Hibiscus;laevis;Malvaceae
1758;rosemallow, woolly;Hibiscus;moscheutos;Malvaceae
433;flower-of-an-hour;Hibiscus;trionum;Malvaceae
942;hawkweed, orange;Hieracium;aurantiacum;Asteraceae
119;hawkweed, meadow;Hieracium;caespitosum;Asteraceae
943;hawkweed, common;Hieracium;lachenalii;Asteraceae
1194;hawkweed, hairy;Hieracium;longipilum;Asteraceae
708;hawkweed, wall;Hieracium;murorum;Asteraceae
944;hawkweed, mouseear;Hieracium;pilosella;Asteraceae
144;hawkweed, king devil;Hieracium;piloselloides;Asteraceae
709;devil, European king;Hieracium;sabaudum;Asteraceae
1195;hawkweed, rough;Hieracium;scabrum;Asteraceae
945;hawkweed,narrowleaf;Hieracium;umbellatum;Asteraceae
434;marestail, common;Hippuris;vulgaris;Plantaginaceae
66;chickweed, jagged;Holosteum;umbellatum;Caryophyllaceae
1748;bluets, azure;Houstonia;caerulea;Rubiaceae
1515;bluet, longleaf summer;Houstonia;longifolia;Rubiaceae
1258;goldenheather, sand;Hudsonia;tomentosa;Cistaceae
1654;hop, Japanese;Humulus;japonicus;Cannabaceae
752;hop, common;Humulus;lupulus;Cannabaceae
1769;violet, eastern green;Hybanthus;concolor;Violaceae
1468;goldenseal;Hydrastis;canadensis;Ranunculaceae
194;hydrilla;Hydrilla;verticillata;Hydrocharitaceae
1126;marshpennywort, American;Hydrocotyle;americana;Apiaceae
1337;waterleaf, great;Hydrophyllum;appendiculatum;Boraginaceae
1338;waterleaf, Virginia;Hydrophyllum;virginianum;Boraginaceae
1295;ticktrefoil, pointed leaf;Hylodesmum;glutinosum;Fabaceae
1297;ticktrefoil, naked flower;Hylodesmum;nudiflorum;Fabaceae
1613;stonecrop, garden;Hylotelephium;erythrostictum;Crassulaceae
1621;stonecrop, showy;Hylotelephium;spectabile;Crassulaceae
712;moneybags, witch's;Hylotelephium;telephium;Crassulaceae
1262;St. John's wort, great;Hypericum;ascyron;Hypericaceae
199;St. John's wort, northern;Hypericum;boreale;Hypericaceae
208;St. John's wort, Canada;Hypericum;canadense;Hypericaceae
210;St. John's wort, pale;Hypericum;ellipticum;Hypericaceae
1643;orangegrass or pineweed;Hypericum;gentianoides;Hypericaceae
1676;St. John's wort, Kalm's;Hypericum;kalmianum;Hypericaceae
284;St. John's wort, large;Hypericum;majus;Hypericaceae
223;St. John's wort, dwarf;Hypericum;mutilum;Hypericaceae
122;Klamathweed;Hypericum;perforatum;Hypericaceae
1644;St. John's wort, shrubby;Hypericum;prolificum;Hypericaceae
1261;St. John's wort, spotted;Hypericum;punctatum;Hypericaceae
1645;St. John's wort, round seed;Hypericum;sphaerocarpum;Hypericaceae
946;cat's ear, spotted;Hypochaeris;radicata;Asteraceae
79;pinesap;Hypopitys;monotropa;Ericaceae
1041;goldstar, common;Hypoxis;hirsuta;Liliaceae
753;hyssop;Hyssopus;officinalis;Lamiaceae
1044;candytuft, globe;Iberis;umbellata;Brassicaceae
1137;catberry;Ilex;mucronatus;Aquifoliaceae
1593;winterberry, common;Ilex;verticillata;Aquifoliaceae
1463;touch-me-not, Balfour's;Impatiens;balfourii;Balsaminaceae
1478;balsam;Impatiens;balsamina;Balsaminaceae
435;jewelweed, orange;Impatiens;capensis;Balsaminaceae
436;jewelweed, ornamental;Impatiens;glandulifera;Balsaminaceae
1216;touch-me-not, pale;Impatiens;pallida;Balsaminaceae
947;inula, elecampane;Inula;helenium;Asteraceae
1239;rocket, purple;Iodanthus;pinnatifidus;Brassicaceae
1598;aster, flax-leaved;Ionactis;linariifolius;Asteraceae
1266;morningglory, ivy leafed;Ipomoea;hederacea;Convolvulaceae
1622;whitestar;Ipomoea;lacunosa;Convolvulaceae
1102;morningglory, tall;Ipomoea;purpurea;Convolvulaceae
1661;cypress, standing;Ipomopsis;rubra;Polemoniaceae
1701;lily, blackberry;Iris;domestica;Iridaceae
1103;iris, German;Iris;germanica;Iridaceae
1685;iris, dwarf lake;Iris;lacustris;Iridaceae
437;iris, pale yellow;Iris;pseudacorus;Iridaceae
1752;iris, dwarf bearded;Iris;pumila;Iridaceae
747;flag, blue;Iris;versicolor;Iridaceae
1339;iris, Virginia;Iris;virginica;Iridaceae
1042;marshelder, annual;Iva;annua;Asteraceae
948;poverty weed;Iva;axillaris;Asteraceae
1218;twinleaf;Jeffersonia;diphylla;Berberidaceae
1344;walnut, white;Juglans;cinerea;Juglandaceae
1104;walnut, black;Juglans;nigra;Juglandaceae
1588;water-willow, American;Justicia;americana;Acanthaceae
